NOMBRE	TIPO	DIRECCION	CLAUSURADO	ACTA
		Yatay N° 120/122 PB LOCAL 56		4-302858,4-302859
		Ciudad de la Paz Nº 3756, PB		4-274800,4-133766
		Del Barco Centenera 401, PB y SS		4-252596
		Av. Avellaneda N° 3636 PB Local 11		4-288471
		Neuquén 2610/12 PB y EP		4-289550
		Holmberg N° 2621 PB.		4-302530
		Av. Rivadavia 3601, PB y Azotea		4-302490,4-302491,4-302492
		Medina N° 1664 PB/EP		4-313053,4-313054,4-289761,4-289760,4-313055,4-313056
		Av. Corrientes 3201, 2° piso (góndola)		4-302494
		Francisco Acuña de Figueroa Nº 352/58		4-302493
		Av. Chiclana 3311/19, PB, EP, 1° a 3° piso y azotea		4-287138
		Av. Eva Perón 5691 PB (UF5)		4-303829
		Av. Pueyrredón, Anchorena, Bartolomé Mitre, JD. Perón- PB. Y EP.		4-288418
		Nogoyá Nº 3651 PB. y 1º piso		4-301685,4-301684,4-301683
		Agustin de Vedia N° 2176 PB/EP		4-289763,4-289762
		Av. Juan Bautista Alberdi N° 3056 PB		4-313526
		Pola 1920/38/52/60 PB y EP y Remedios 5490		4-303681,4-303680,4-303679,4-303678
		Enrique Ochoa N° 428 PB/EP		4-302458
		Paraguay 723, PB, 1° y 2° piso		4-303089,4-303088
		Azcuénaga 538 PB/EP/1° piso (UF2)		4-288560
		Humboldt N° 1656 PB		4-182460
		Av. Franklin D Roosevelt 5701/83, PB, EP, 1° a 4 Piso		4-302433
		Florida N° 328 PB, SS		4-301780
		Jaramillo Nº 3670/72 y Roque Pérez Nº 3650/56 PB., 1º piso y sótano		4-289764
		San Nicolás Nº 321, PB		4-303930
		Curapaligue 418/20, PB y PA		4-302679
		Av. Juan B. Alberdi N° 715 – PB – UF 1		4-303833
		Cuenca N° 2414 PB		4-288482
		Gorriti N° 5615 PB, EP y PA		4-302781
		República Dominicana N° 3400/Bulnes 1797 PB-UF 1		4-302495
		Armenia N° 1744 PB, 1° y 2° piso		4-302782,4-302783
		Av. Avellaneda N° 3722 PB y PA		4-289944
		Boyacá N° 51 PB/SS		4-301687,4-301688
		Av. Nazca N° 225 PB		4-301394,4-301395
		Bogotá N° 3578 PB		4-303934
		San Nicolas 321, PB y PA		4-303931,4-303932,4-303933
		Monroe N° 5352 PB/1° A 3° PISO		4-303092,4-303090,4-303091
		José E. Uriburu 1543 Pb y 1° piso		4-289995
		Formosa Nº 516 PB. –unidad funcional Nº 2		4-288561
		Av. Rivadavia N° 5264/68 PB UF 11 local 20		4-303832
		Moreno N° 2426 SS/PB/EP/1° Y 2° PISO/TZA		4-313427,4-313428
		Uriburu J. Evaristo 1141 PB. y EP.,		4 -303834
		Pavón 1458 PB		4-272916
		Beruti 2845 PB, UF 1.,		4-303626
		Bacacay N° 2051 PB. y PA		4-253149
		Núñez N° 2683/85/91 SS/PB/1° A 4° PISO/SOTANO		4-302140
		Maza 754, PA		4-302929, 4-0302930
		Tres Arroyos 2332 PB, 1° y 2° piso.,		4-313529, 4-0313530;
		San José Nº 1496 PB y Pavón Nº 1393		4-313230
		Arenales N° 2659 PB, UF 1		4-288325
		Portela 46 PB y EP		4-301015
		Díaz Colodrero N° 2819 PB UF 1.,		4-303835
		Ciudad de la Paz N° 1126 PB/SOT		4-302863,4-301593
		Av. Frankin D. Rooselvet 5720/22, PB.,		4-303836
		AV. Brasil Nº 1394 PB		4-287772
		Antezana 47 PB y PA		4-302424,4-302423
		Carlos Calvo Nº 2217 PB., 1º y 2º piso		4-303098
		Alicia Moreau de Justo 1808/16 PB.,		4-302082
		Bacacay 3573/75, PB y PA		4-313278,4-313279,4-313280
		Av. Santa Fe N° 4120 PB/SS.,		4-302275
		Olga Cossettini N° 1553 PB.,		4-302081
		Lima Nº 627, PB, 1º, EP y Azotea		4-289022
		Carlos Calvo N° 1447/49 PB., EP		4-289843,4-289842,4-289841,4-289844
		Otamendi 443, PB y PA.,		4-289998
		Adolfo Alsina 1465, PB y PA		4-2397624-302785
		Tres Arroyos N° 3755 PB., - 2		4-303196
		Av. Belgrano N° 4140/44 PB.,		4-273640
		Av. Elcano N° 2750, PB (UF2).,		4-303628,4-303629
		Concordia N° 418 PB/PA		4-301693,4-301692
		Manuela Pedraza Nº 2177 PB. y 1º piso		4-252696
		PTE. Luis Saenz Peña Nº 1839 PB., EP. y sótano		4-302845
		Av. Rivadavia 7214 PB		4-273558
		viamonte 172/80/90 pb-ss-1-2		4-313536,4-313281
		DR. Enrique ochoa 922 pb-azot		4-303505
		bahia blanca 203/205 pb-1-2-azot		4-303176,4-303177,4-303178,4-303179,4-303180
		Fray Justo Santa María de Oro N° 2280 PB		4-48893
		Av. Córdoba N° 5267 PB/1°/Azotea		4-302086
		Humboldt N° 1864 PB		4-287162
		Av. Álvarez Thomas 1368 PB-EP		4-287163
		Solís N° 1128 PB y PA		4-302088
		Marcelo T. de Alvear N° 1540 PB y 1° piso		4-303152
		Av. Warnes 688 Pb y EP.,		4-302594
		Av. Rivadavia N° 3412/16 PB, PA.,		4-272597
		Av. Rivadavia 8071 PB y EP.,		4-301698,4-301697,4-301699
		Guemes N° 3140 PB. y 1º piso		4-302231
		Chile Nº 356, PB, 1º y 2º Piso		4-254699
		Ángel Justiniano Carranza Nº 1979, PB		4-273236
		Estados Unidos Nº 1160 PB. y EP.,		4-303405,4-303406
		Fitz Roy N° 1995 PB		4-266826,4-266827,4-254150
		Av. Rivadavia N° 7428 PB/1° PISO.,		4-272595
		Gorriti N° 5516 PB..,		4-238049
		CNEL. Niceto Vega N° 5646 PB. y PA. –unidad funcional Nº 2-.,		4-302786,4-302787
		Av. Directorio 5972 PB, Oliden 2018/94 y Pasaje Chicoana 2087		4-289654,4-289653,4-303390
		Cnel. Ramón L. Falcón N° 2276 PB		4-301695,4-301987,4-301696
		Montevideo N° 421, 1° piso		4-48894
		AV. GRAL. Mosconi Nº 2746 PB UF 1		4-303837
		Av. Rivadavia N° 8132 PB/EP.,		4-313701,4-301700
		Moreto N° 1757/59/63/67 PB y PA UF 1.,		4-289023
		Av. Callao N° 1465 PB – UF 1.,		4-301885
		AV. José M. Ramos Mejía Nº 1680 1º PISO LOCAL GR 10.,		4-303840
		Santa Elena Nº 464/68/72/78/80, PB		4-288393,4-289769
		Av. Cabildo N° 2577 PB		4-302497
		AV. Antártida Argentina y calle Nº 10 –t.óRetiro-, 1º p-sec D loc 91/110 uf		4-303841
		AV. José M. Ramos Mejía 1680 1° piso, local GR 2.,		4-303838
		José A. Cabrera N° 4366/68 PB/EP		4-313538
		Guaraní Nº 12 PB. y EP.,		4-289075
		Av. Rivadavia Nº 6476/78 PB/PA		4-289680,4-289681
		Malabia 1151 – Lerma 451 PB, 1°y 2° Piso		4-313282
		Zuviría N° 5872, PB, EPs y PA		4-303391,4-303392,4-303393
		Montañeses N° 2033 PB		4-302496,4-288419,4-288420
		Paraguay N° 5099 PB-EP-1° Piso		4-256371
		Pte. Perón 2402 PB, EP y Subsuelo (UF/Local 4).,		4-289896
		AV. Díaz Vélez Nº 5590/5600 y Honorio Pueyrredón Nº 1063, PB y PA		4-267807
		AV. Elcano Nº 3285, PB, UF 1.,		4-288421
		Pehuajo Nº 947 PB/PA.,		4-303630
		Zapiola Nº 1788 PB		4-288422
		Olazábal N° 2465 PB y PA		4-301099,4-301098,4-301100
		Francisco Acuña de Figueroa N° 1042 Piso 2° contrafrente		4-313539
		Rep. Bolivariana de Venezuela N° 884 PB, PA		4-288110,4-313806
		La Rioja N° 444 PB		4-288622
		Av. Corrientes N° 2224 PB, 1°, 2° piso UF 1.,		4-302154,4-302156,4-302155
		Grito de Asencio N° 3536/38 PB.		4-303864,4-303865,4-301369
		José G. Artigas Nº 2052 PB/2º PISO		4-314103,4-314102,4-314101
		AV. Federico Lacroze Nº 2963 PB. y 1º piso		4-273238
		Humberto 1° N° 1462, PB y 1° piso		4-288190
		Av. Pedro Goyena N° 323 PB.,		4-288423
		Av. Corrientes N° 2493 PB/SS		4-289845
		Beláustegui N° 4495 PB.,		4-313507
		Zapata Nº 416/20, PB		4-314106,4-314405,4-314104
		Av. San Juan 4041/43 PB		4-288424
		AV. Eva Perón Nº 4640 e/4638 y 4648 y Mozart Nº 1831 PB. y EP.,		4-272922,4-303210
		Bacacay Nº 5070 PB FONDO.,		4-302598,4-302599
		Av. San Martin N° 2251 PB		4-302090
		Godoy Cruz N° 2633/37 SS., PB., , 1º piso y azotea		4-302525,4-313651,4-313652,4-313355,4-313356
		Av. Eva Perón 7228 PB y PA (José León Suárez 3319		4-303979,4-303978,4-288395
		Pasteur Nº 277 –local Nº 11 y 12- SS		4-302159,4-302160
		Pasteur Nº 277 SS, Local 14 y 15 unificados		4-302346,4-302347
		Av. Nazca N° 5302 PB		4-302556
		AV. Manuel Montes de Oca Nº 886 1°, EP, 2°Piso		4-302144,4-302145,4-302146,4-302147,4-302149
		Maipú Nº 652 PB/PA.,		4-302464
		Av. Directorio Nº 2400 PB.,		4-265667
		Pasteur Nº 277 Subsuelo, Local 27		4-301887,4-302162
		Pasteur Nº 277 PISO 1º -local a la izqa del local 56 lindero a escalera descendente		4-314286,4-314284,4-314285,4-314283
		Av. Rivadavia N° 4975 (y Ambrosetti 78/80) PB, local 21.,		4-288364
		AV. San Martín Nº 2751 PB., PA. y sótano		4-302089
		Pasteur Nº 277 PB, Local 23		4-314029,4-314030
		Pasteur Nº 277 –local Nº 6- SS.,		4-302158,4-302157
		Thames N° 1163 PB y EP.,		4-302050
		Pasteur Nº 277 EP, Local 31		4-314281,4-314282
		Pasteur Nº 277 PB, Local 26		4-302345,4-302344
		Pasteur Nº 277 1° piso, Local 56		4-302873,4-302874
		Bahía Blanca N° 2658 PB y PA.,		4-272339,4-272340
		Av. San Pedrito Nº 552/56 PB.,		4-265669
		Río de Janeiro 844 PB.,		4-303872,4-313286,4-313285
		Bonpland Nº 1355/57 PB. y EP		4-313541
		Av. Córdoba N° 3810/12 PB		4-168869
		Benito QUINQUELA MARTIN 1766/1770, planta baja, 1° y 2° piso		4-302500
		Bahía Blanca N° 451 PB		4-289024
		Av. Rivadavia Nº 3599, planta baja		4-302092
		Santo Domingo N° 2637 PB		4-302499
		Moreto N° 1757/59/63/67 PB. y PA. –unidad funcional Nº 1.,		4-303212
		11 de Septiembre de 1888 Nº 2490 y Monroe Nº 1802 PB. –unidad funcional 4		4-314287
		Av. Avellaneda Nº 3660 PB LOCAL 41		4-289025
		Rojas Nº 2120 PB/EP/1º PISO		4-301541,4-301038
		Riobamba 451, 2° piso, “C”.,		4-266828
		Av. Álvarez Thomas 2602 PB y SS.,		4-302016
		Av. Elcano 3364/80/98 – Gral Enrique Martínez 1305/43/61/85,ect		4-313752
		Cangallo N° 33 PB y EP.,		4-303869,4-303870
		Billinghurst N° 952 PB/PA UF2.,		4-314033,4-314032
		Av. Corrientes 4602 PB y SS		4-287736
		Fitz Roy Nº 1626 PB		4-301988
		Rodríguez Peña N° 431 – 3° D.,		4-287165,4-287164
		Av. Chivilcoy N° 3856 PB y 1° piso		4-287167
		Av. Francisco Beiró N° 3436 PB		4-288535
		Jorge Luis Borges Nº 1891 PB		4-266831
		Campichuelo N° 472 PB.,		4-274809
		Soler Nº 5502/16 PB		4-303842
		San José 155 PB (UF 1		4-313976
		México N° 918		4-273559
		Ciudad de la Paz 428/24 PB.,		4-303843
		Yerbal Nº 854/56 PB., sótano, EP., 1º y 2º piso.,		4-302933,4-274623,4-302932
		Av. San Martín N° 5901		4-314126
		Godoy Cruz N° 1752 PB y EP		4-303154
		Av. Córdoba N° 4379 PB, 1° piso y EP.,		4-301782
		Tronador Nº 1067 PB		4-288485
		Goya N° 758/60 PB/1°/2°/3°/Azotea		4-313065,4-313064
		Av. Hipólito Yrigoyen 1480 PB (UF 3).,		4-313977
		José Hernández N° 2377 PB y PA (UF2).,		4-314401
		Av. Donato Álvarez N° 389 PB, UF 1.,		4-289242
		Moldes N° 1785 PB, EP, PA.,		4-314402
		AV. Cabildo Nº 2124 PB., EP. y 1º piso.,		4-314403
		Talcahuano N° 1097 3° piso “B”.,		4-274585
		Marcos Paz 2570, planta baja y entre piso, UF 6		4-313544,4-313543
		Av. Santa Fe 4560, planta baja y planta alta.,		4-266832
		Cerrito Nº 1058 SS./PB		4-288511
		Carlos Pellegrini 885/7, Piso 10 (UF 12).,		4-313978
		Bogotá 3168/70, PB, 1° a 3° piso		4-274625
		Ciudad de la Paz Nº 557 PB/SS.,		4-314127
		Martínez Castro 828, planta baja y planta alta.,		4-302734,4-302735,4-302736
		Ventura Bosh 6996 PB.,		4-48200
		O’Higgins Nº 4771 PB., 1º a 4º piso		4-314110
		Dr. Enrique Finochietto N° 564 1° Piso		4-254523
		Salta Nº 1727 PB. –locales 10 y 12-.,		4-303408
		Av. Intendente Francisco Rabanal Nº 1428/30/34 PB/EP.,		4-313327,4-313328,4-301824
		Azul 92/94, planta baja, 1° y 2 piso		4-303053,4-303054,4-303055
		José León Suárez 502 PB, Esquina Tuyuti N° 7184 PB (UF 2).,		4-313981
		Bueras Nº 123/125 PB/1º A 3º PISO/AZOTEA		4-302912,4-303147
		Charcas Nº 4275 PB		4-301544
		Charcas Nº 3647 PB/1º PISO.,		4-288512
		Bynnon N° 6947 PB., 1º, 2º 3º piso y azotea		4-303149,4-302913,4-302914
		Tacuarí 1663 PB, EP y 1° piso		4-303004
		Av. Corrientes N° 1985 Piso 4° Dpto “G”.,		4-314752
		Av. Avellaneda 3661/79 PB, Local 7C.,		4-314405
		Av. Avellaneda Nº 3661/79 PB/EP LOCAL C08 y C09		4-314406
		Cnel. Ramón L. Falcón Nº 6960, PB, UF 1.,		4-313979
		Plaza N° 773 PB		4-314431
		Cnel. Ramón L. Falcón 6930, planta baja		4-313980
		Av. San Juan N° 1171 PB, 1° a 6° piso		4-314476
		Tte. Gral. Juan D. Perón 2760, planta baja		4-314876
		Bacacay Nº 2921 PB/PA.,		4-313983,4-303844
		Av. Gral. Paz Nº 10746 PB LOCAL 1.,		4-314306,4-314307
		Guayaquil 143, planta baja, 1° y 2° piso		4-303728
		Bartolomé Mitre Nº 1984/86, sótano, PB., 1º a 6º piso.,		4-288563
		Catamarca Nº 85 / Hipólito Yrigoyen Nº 2915 SS/PB/1º A 4º-piso/az		4-303479
		Av. Gral. Paz 10746, planta baja, local 37.,		4-314308
		Bacacay 3301 PB, EP, 1° y 2° piso		4-313982
		Defensa Nº 1665 PB. y entrepiso.,		4-302094
		Fray Justo Santa María de Oro 1801 PB		4-267811
		Av. Gaona 3671 PB, EP, 1° piso y Azotea		4-302911
		Las Casas 3556/54 y Álzaga 2007 (PB y EP).,		4-314827,4-314828,4-314829,4-313514
		Montiel 5672, planta baja y 1° piso.,		4-288765
		Cnel. Ramón Falcón N° 2575 PB (UF 2).,		4-289244
		Guardia Vieja 3579/83 PB. y EP. (UF 5/6).,		4-313984
		Viamonte 1167/69, planta baja y sótano, unidad funcional 1.,		4-314460,4-314459,4-314458
		Av. Boedo Nº 1738/58 PB/PA		4-313515
		Blanco Escalada N° 4739/4745 PB, 1° piso.,		
		Teniente Coronel Recuero Casimiro 3451 PB.,		4-301973
		Av. Francisco Beiro Nº 3865 SS/PB/1º A 4º PISO		4-303534,4-265969
		ADOLFO ALSINA 1616/18 PB,EP,1°Y2° PISO Y AZOTEA		4-3144858,4-314484,4-314483,4-314482,4-314486
		Castro Barros N° 553 PB, EP y 1° piso		4-314129
		Rodríguez Peña N° 223		4-314128
		El Salvador N° 4968 PB y PA.,		4-301786
		3 de Febrero N° 2770/2 PB, EP y 2° piso		4-272868
		Carlos Calvo N° 811 PB.,		4-133767
		Av. Rivadavia N° 1400 y San José N° 2 PB.,		4-272599
		Araoz N° 1218 PB		4-272867
		Bonpland N° 1511 PB.,		4-302022
		Olga Cossettini Nº 1175 PB.,		4-267813
		Delgado N° 1208 PB		4-302232
		Av. Juan de Garay N° 1267 PB/EP.,		4-253718
		Av. Juan de Garay N° 4060/68 PB, 1° y 2° piso		4-289655,4-314804,4-314805
		Paso N° 409 PB y PA.,		4-301597,4-301598,4-303614
		Piedras N° 1218/20 PB		4-272600
		Posadas 1169, planta baja, departamento “A”.,		4-303846
		Santander N° 3758 PB/EP		4-313493,4-303982,4-303983
		Brandsen N° 1389 PB,.		4-313719,4-313718
		Av.Córdoba N° 5672/74/80 y Bonpland N° 1231, Piso: PB, SS, EP y PA.-		4-314711
		Av. Gaona N° 4002/4004 PB, EP, Sótano		4-48895,4-48896
		Av. Belgrano Nº 2393 PB/EP/1º Y 2º PISO/AZOTEA		4-303720,4-302809,4-302810,4-302811
		Pavón N° 3001 PB y EP (y conexión interna con local la Rioja-1451/53/55		4-288564
		Ecuador 54, planta baja, entre piso y 1° piso		4-289712,4-289713
		Av. Libertador Nº 1098 SS/PB/EP		4-273241
		Av. Elcano 3043, planta baja		4-272649
		Julián Álvarez Nº 2326, PB UF 1.,		4-288566
		Fitz Roy N° 304 y Muñecas N° 1403/05/07 PB, EP y 1° piso		4-301975,4-314231
		Virrey Del Pino N° 2784 PB UF 2.,		4-303848
		Ciudad de la Paz N° 1596 PB y EP.,		4-303847
		Humboldt Nº 39 PB/EP/1º Y 2º PISO		4-313517,4-314980,4-314981,4-314982
		Arregui 6301/9 PB (esq. Bruselas		4-301985
		Av. Rivadavia N° 2774 1° piso “B”,.		4-314113
		Gascón 632, planta baja, entre piso y planta alta		4-314178
		Sánchez de Bustamante 2081/2083, planta baja		4-303634
		Paraguay Nº 3088 PB.,		4-315227
		Paraguay 1500 PB y EP		4-303617,4-303618,4-303616
		Av. Callao Nº 686, PB/SOT, UF 1.,		4-314656
		Amenábar N° 1066, SS, Planta Baja, Entrepiso, 1º y 2º Piso		4-302814,4-302813
		Quesada N° 2185 PB/PA		4-314296,4-314040,4-314042,4-314043,4-31404
		Av. Nazca N° 22 PB y SS		4-303635,4-303636
		Alvarez Jonte N° 6383 PB, EP, 1° y 2° piso y Av. J.B Justo 9301/99		4-265325
		Ecuador N° 361 PB y Sótano.,		4-313739
		Arbeletche Aníbal 1541/61 PB y PA.		4-314983
		Argerich N° 206 PB/EP y 1° Piso		4-313856,4-313855
		Rocamora 4420, planta baja		4-314310
		Av. de Mayo 860, planta baja, 1° a 5° piso y azotea		4-302915,4-303721
		Armenia N° 1453 PB/EP.,		4-301990
		Tte. Juan Domingo Perón N° 2552 2° piso, depto. 25,.		4-313243,4-313378,4-313379,4-313381,4-313382
		J.A Cabrera N° 5225/27 PB, PA.,		4-302099
		José Bonifacio 3635, planta baja y planta alta		4-303453,4-315251
		Av. San Juan N° 699 PB-SOT-UF 5,.		4-315402
		Cachimayo Nº 1980 PB		4-314312,4-314311,4-314313
		AV. Juan B. Alberdi 4021/23 PB		4-301047
		Ecuador Nº 1362/64 PB/1º, 2º Y 3º PISO		
		Anchoris Nº 207 PB/SOTANO		
		PERON 2933		Silvia Liliana González, DNI N° 20.026.996
		Defensa Nº 1290, PB		4-315401
		Libertad Nº 1224 SS/PB/1º A 7º PISO.,		4-303553,4-303554,4-303556,4-303555
		Av. Rivadavia N° 2283 PB, 1° a 2° piso		4-289525
		Madero 925/29/31 PB, 1°, 2°, 3° y 4°,.		4-313497,4-314579
		Lavalle N° 930 PB EP, 1° a 5°.,		4-303552
		Jorge Luis Borges1610		4-315228
		Bme. Mitre N° 1688/90 PB, EP, 1°, 2° piso, azotea		4-303013,4-313657,4-313658,4-313659
		Castañón 958/60 PB y PA		4-303454,4-315252,4-315253
		Huaura Nº 1335/37 PB/EP/1º Y 2º PISO.,		4-302367,4-302369,4-302368,4-303062,4-303061
		Uriarte Nº 1616 PB y entrepiso		4-230745
		República Bolivariana de Venezuela Nº 2941, PB y 1º Piso.,		4-272869
		Azcuénaga 215, planta baja, entre piso y sótano		4-301260,4-301259
		Av. Caseros N° 3744 PB. 1° Piso, Azotea, Sótano		4-313762,4-313761
		Barzana N° 2090 PB		4-289092
		Franklin N° 1151 PB		4-314409
		Pieres N° 767 PB/EP/1° Piso - uf 3,		4-313988
		Av. Carabobo N° 1674 PB		4-289246
		Timoteo Gordillo Nº 61 PB UF 2,.		4-315403
		Esmeralda 506, PB, SS y 2° SS.,		4-303280
		Av. Fernández De La Cruz 1030 PB.,		4-243391
		O’Gorman N° 3534 PB, EP y 1° piso		4-303457,4-303458
		Valentín Gómez 2884 PB		4-302295
		José Marti 3464 y Av. Cnel Roca 3069/71, PB		4-315255,4-303989
		Av. Juan B. Alberdi Nº 3100 SS/PB.,		4-272871
		Suipacha N° 374 PB, SS, 1° y 2° piso		4-303281
		Av. Directorio 2845, PB y 1° piso.,		4-302739,4-314358
		Av. Olazabal 5693, PB		4-313724
		Av. Gral. Paz Nº 10650 SS/PB/EP.,		4-303282,4-303283
		Valentín Gómez N° 3301/05 PB y ST, UF. 1.,		4-230747
		Av. Rivadavia N° 1989 PB		4-289581
		Bolívar N° 684, PB y SS		4-287172
		Hipólito Yrigoyen N° 2002, PB.,		4-266838/4-266839
		Av. Lacroze N° 3547/63 PB, 1°,.		4-289361
		Piedras 967		4-289584
		Montevideo N° 175 PB y SS,.		4-75822
		Valentín Gómez 3685 PB y EP		4-301262/4-301263
		Bulnes N° 323 PB		4-219074
		Cuba 1999 PB, PA y sótano		4-314048/4-314046/4-314047/4-314045
		Piedras Nº 989 pb,.		4-289583
		Honduras 5296, planta baja y planta alta		4-230746
		Blanco Encalada 2278/80, planta baja y planta alta		4-266835/4-266834
		Pedernera 2775 Planta Alta		4-314956/4-303684
		Paraná N° 1048 PB, 1°,2°,3° y SS.,		4-314052
		Cnel. Niceto Vega N° 5305 PB		4-314551
		México Nº 1113 PB		4-301549
		Av. Figueroa Alcorta N° 7424 PB, 1° y 2° piso		4-288194
		Dean Funes N° 2045 PB.,		4-302234
		Bonpland N° 1690 PB y PA		4-314053
		Gregorio Araoz de Lamadrid Nº 728 PB		4-254525
		José A. Cabrera N° 4354 PB		4-274812/4-274811
		Riglos N° 352, PB.,		4-274813
		Zavaleta Nº 408 al 518 y Dr. Prof. Pedro Chutro Nº 2850 PB/EP/1º PISO.,		4-314582/4-314581/4-314984
		Gorriti N° 5295 PB y EP		4-288538
		Arévalo N° 3031 PB y 1° piso		4-303658
		Arcos N° 2950 PB.,		4-303659
		Chile N° 631 PB		4-289582
		Moreno N° 1337/41 PB-EP-1°,.		4-266868
		Av. Rivadavia 7370 PB,.		4-253220
		Bartolomé Mitre Nº 2734 PB/PA		4-288973,4-288974
		ALFREDO R. BUFANO 1623/27, planta baja, 1° piso y entre piso.,		4-302372,4-274069
		Perú N° 860 1°, 2° y 3° piso.,		4-313420
		Padilla 392 PB		4-303639
		Mariano Acha Nº 4801 PB		4-302023,4-302024
		Deán Funes N° 560 PB, 1° y 2° pisos y terraza		4-315528
		Av. Belgrano 703 PB uf 70,.		4-314183, 4-314184
		Av. Corrientes 1640, PB, 1° y 2° piso y SS		
		Conesa N° 1070 PB/1°,2° y 3° PISO/AZOTEA		4-313655
		Esparza N° 73.,		4-303012
		Posadas 1227 Y Av. Libertador 740/50, PB, EP, 1° a 6° piso		
		Bucarelli N° 2887 PB, EP		4-314531,4-314532,4-314731,4-314732
		Arenales 2007, planta baja y 1° piso		4-288539
		Av. Gaona 1499, planta baja, 1° y 2° piso		4-267814
		Soler N° 3599 PB. y Sótano		4-256375
		Av. del Libertador N° 7501 PB		4-314605,4-314606,4-314608
		Av. Belgrano 545 PB. y sótano (UF2		4-314185
		Fitz Roy 2082 PB/EP		4-315652,4-315651
		Necochea 863, PB, PA, EP y azotea		4-315505,4-315506,4-315504,4-315503
		Av. Juan De Garay 849, PB, UF 3.,		4-313458
		Av. Rivadavia Nº 7328 PB		4-315406
		Pasco Nº 1041 PB/EP		4-301991
		Chubut 1207, PB (esquina Alvarado		4-314721
		Bogotá Nº 2519 SS/PB/1º A 6º PISO/AZOTEA		4-313666,4-313665,4-313664
		Av. Nazca 482, planta baja, unidad funcional 1,.		4-314255,4-314256
		Rincón N° 140 PB		4-314885,4-314882,4-314881,4-314883,4-314884
		Bogotá N° 2953 PB Local 14,.		4-314258
		Cnel. Martiniano Chilavert 1120/26, PB, 1° a 3° piso, Eps		4-314626
		Echandia N° 3872 1° piso		4-303995,314586
		Av. Francisco Beiro 3021, PB,.		4-289093,4-289094
		San Pedro de Jujuy 4 PB, 1°, 2° y 3° piso		4-272873
		Quilmes 536/40, planta baja, entre piso y 1° piso		4-313500,4-314834
		Av. Boedo N° 878/80 PB, EP		4-314055
		Hipólito Yrigoyen N° 1546 PB/Sótano (UF2		4-314887
		BALBASTRO 2133, planta baja		4-303994,4-314585
		Argerich N° 409 PB/EP.,		4-314257
