"NOMBRE","TIPO","DIRECCION","CLAUSURADO","ACTA","origin","DIRECCION.CLEAN","regexp","calle","numero"
NA,NA,"Sayos N° 5865 PB y 1° piso",NA,"4-303655","D1","sayos 5865 pb y 1 piso","^([a-z ]*)([0-9]+)","sayos  pb y 1 piso","5865 pb y 1 piso"
NA,NA,"José Ángel Cabrera N° 4223 PB",NA,"4-243605","D1","jose angel cabrera 4223 pb","^([a-z ]*)([0-9]+)","jose angel cabrera  pb","4223 pb"
NA,NA,"Av. Santa Fé N° 2399 PB/SS/EP",NA,"4-301094","D1","av santa fe 2399 pb/ss/ep","^([a-z ]*)([0-9]+)","av santa fe  pb/ss/ep","2399 pb/ss/ep"
NA,NA,"Andres Lamas 1108, 1° piso",NA,"4-242039,4-242040,4-287160,4-242038","D1","andres lamas 1108 1 piso","^([a-z ]*)([0-9]+)","andres lamas  1 piso","1108 1 piso"
NA,NA,"Pringles N° 1390",NA,"4-266264","D1","pringles 1390","^([a-z ]*)([0-9]+)","pringles","1390"
NA,NA,"Perú N° 81/85 PB y Sótano, UF N° 1",NA,"4-289873","D1","peru 81/85 pb y sotano uf 1","^([a-z ]*)([0-9]+)","peru /85 pb y sotano uf 1","81/85 pb y sotano uf 1"
NA,NA,"Av. Rivadavia N° 10995 PB., SS. y EP",NA,"4-274798","D1","av rivadavia 10995 pb ss y ep","^([a-z ]*)([0-9]+)","av rivadavia  pb ss y ep","10995 pb ss y ep"
NA,NA,"Reconquista N° 701 y Viamonte N° 389 SS/PB/EP",NA,"4-48892.4-48889,4-48890,4-48891","D1","reconquista 701 y viamonte 389 ss/pb/ep","^([a-z ]*)([0-9]+)","reconquista  y viamonte 389 ss/pb/ep","701 y viamonte 389 ss/pb/ep"
NA,NA,"Perú N° 441/47 PB., 1° SS. y 2° SS",NA,"4-289874","D1","peru 441/47 pb 1 ss y 2 ss","^([a-z ]*)([0-9]+)","peru /47 pb 1 ss y 2 ss","441/47 pb 1 ss y 2 ss"
NA,NA,"AV. Cabildo Nº 4744 PB. y EP",NA,"4-274695","D1","av cabildo no 4744 pb y ep","^([a-z ]*)([0-9]+)","av cabildo no  pb y ep","4744 pb y ep"
NA,NA,"Lafuente 880/94 PB y PA (Baldomero F. Moreno 3065/99)",NA,"4-302836,4-301523","D1","lafuente 880/94 pb y pa (baldomero f moreno 3065/99)","^([a-z ]*)([0-9]+)","lafuente /94 pb y pa (baldomero f moreno 3065/99)","880/94 pb y pa (baldomero f moreno 3065/99)"
NA,NA,"Armenia 1946/54 ST/PB/1º/EP/2° piso",NA,"4-288557","D1","armenia 1946/54 st/pb/1o/ep/2 piso","^([a-z ]*)([0-9]+)","armenia /54 st/pb/1o/ep/2 piso","1946/54 st/pb/1o/ep/2 piso"
NA,NA,"AV. Cabildo Nº 2880 1º piso y EP",NA,"4-303082,4-303083","D1","av cabildo no 2880 1o piso y ep","^([a-z ]*)([0-9]+)","av cabildo no  1o piso y ep","2880 1o piso y ep"
NA,NA,"Tucuman 2362, PB, EP y SS, Dpto “A”",NA,"4-301321,4-301322,4-301323,4-301320,4-301324","D1","tucuman 2362 pb ep y ss dpto ""a""","^([a-z ]*)([0-9]+)","tucuman  pb ep y ss dpto ""a""","2362 pb ep y ss dpto ""a"""
NA,NA,"Paysandú N° 1816 PB",NA,"4-289018,4-289019","D1","paysandu 1816 pb","^([a-z ]*)([0-9]+)","paysandu  pb","1816 pb"
NA,NA,"Av. Escalada 1496, PB. –frente",NA,"4-301474","D1","av escalada 1496 pb -frente","^([a-z ]*)([0-9]+)","av escalada  pb -frente","1496 pb -frente"
NA,NA,"Defensa N° 502/504 SÓTANO/PB",NA,"4-242042","D1","defensa 502/504 sotano/pb","^([a-z ]*)([0-9]+)","defensa /504 sotano/pb","502/504 sotano/pb"
NA,NA,"Castillo N° 1500 PB",NA,"4-289875","D1","castillo 1500 pb","^([a-z ]*)([0-9]+)","castillo  pb","1500 pb"
NA,NA,"Av. Jujuy 453 PB y EP",NA,"4-313126","D1","av jujuy 453 pb y ep","^([a-z ]*)([0-9]+)","av jujuy  pb y ep","453 pb y ep"
NA,NA,"Camargo N° 851 PB",NA,"4-288416","D1","camargo 851 pb","^([a-z ]*)([0-9]+)","camargo  pb","851 pb"
NA,NA,"Av. Cabildo 4712 PB y 1° piso",NA,"4-239759,4-288188,4-288189","D1","av cabildo 4712 pb y 1 piso","^([a-z ]*)([0-9]+)","av cabildo  pb y 1 piso","4712 pb y 1 piso"
NA,NA,"Carlos Calvo N° 375 PB/PA",NA,"4-242043","D1","carlos calvo 375 pb/pa","^([a-z ]*)([0-9]+)","carlos calvo  pb/pa","375 pb/pa"
NA,NA,"Posadas N° 1086 PB",NA,"4-273025","D1","posadas 1086 pb","^([a-z ]*)([0-9]+)","posadas  pb","1086 pb"
NA,NA,"Av. Corrientes 4981 PB y Sótano",NA,"4-288558","D1","av corrientes 4981 pb y sotano","^([a-z ]*)([0-9]+)","av corrientes  pb y sotano","4981 pb y sotano"
NA,NA,"Av. Cnel Ramón L. Falcón N° 1681 PB",NA,"4-303826","D1","av cnel ramon l falcon 1681 pb","^([a-z ]*)([0-9]+)","av cnel ramon l falcon  pb","1681 pb"
NA,NA,"AV. Rivadavia 8535, PB, 1° y 2° piso",NA,"4-274697,4-274696","D1","av rivadavia 8535 pb 1 y 2 piso","^([a-z ]*)([0-9]+)","av rivadavia  pb 1 y 2 piso","8535 pb 1 y 2 piso"
NA,NA,"Rio Cuarto 4054, PB.",NA,"4-302380,4-302381","D1","rio cuarto 4054 pb","^([a-z ]*)([0-9]+)","rio cuarto  pb","4054 pb"
NA,NA,"Valentín Gómez N° 3244/46 PB/EP/PA",NA,"4-303035,4-303036,4-301748,4-303034,4-301750,4-301749","D1","valentin gomez 3244/46 pb/ep/pa","^([a-z ]*)([0-9]+)","valentin gomez /46 pb/ep/pa","3244/46 pb/ep/pa"
NA,NA,"Av. Monroe N° 5364/70/72 PB, 1° y 2° piso",NA,"4-301498,4-287770","D1","av monroe 5364/70/72 pb 1 y 2 piso","^([a-z ]*)([0-9]+)","av monroe /70/72 pb 1 y 2 piso","5364/70/72 pb 1 y 2 piso"
NA,NA,"Delgado N° 550 PB., 1º y 2º piso",NA,"4-303245,4-303246,4-303250,4-303248,4-303249,4-303247","D1","delgado 550 pb 1o y 2o piso","^([a-z ]*)([0-9]+)","delgado  pb 1o y 2o piso","550 pb 1o y 2o piso"
NA,NA,"Fonrouge 569 (Fondo) PB. y EP",NA,"4-302585,4-302584","D1","fonrouge 569 (fondo) pb y ep","^([a-z ]*)([0-9]+)","fonrouge  (fondo) pb y ep","569 (fondo) pb y ep"
NA,NA,"Bahía Blanca Nº 1491, PB",NA,"4-289047,4-289048","D1","bahia blanca no 1491 pb","^([a-z ]*)([0-9]+)","bahia blanca no  pb","1491 pb"
NA,NA,"Neuquén N° 2786/88 PB/EP/1° A 3° PISO",NA,"4-301525,4-302839,4-302840","D1","neuquen 2786/88 pb/ep/1 a 3 piso","^([a-z ]*)([0-9]+)","neuquen /88 pb/ep/1 a 3 piso","2786/88 pb/ep/1 a 3 piso"
NA,NA,"Cervantes 653, PB y PA, UF 1",NA,"4-303827","D1","cervantes 653 pb y pa uf 1","^([a-z ]*)([0-9]+)","cervantes  pb y pa uf 1","653 pb y pa uf 1"
NA,NA,"Doblas 1373 PB",NA,"4-302271,4-302270,4-302269","D1","doblas 1373 pb","^([a-z ]*)([0-9]+)","doblas  pb","1373 pb"
NA,NA,"Yatay N° 120/122 PB LOCAL 56",NA,"4-302858,4-302859","D1","yatay 120/122 pb local 56","^([a-z ]*)([0-9]+)","yatay /122 pb local 56","120/122 pb local 56"
NA,NA,"Ciudad de la Paz Nº 3756, PB",NA,"4-274800,4-133766","D1","ciudad de la paz no 3756 pb","^([a-z ]*)([0-9]+)","ciudad de la paz no  pb","3756 pb"
NA,NA,"Del Barco Centenera 401, PB y SS",NA,"4-252596","D1","del barco centenera 401 pb y ss","^([a-z ]*)([0-9]+)","del barco centenera  pb y ss","401 pb y ss"
NA,NA,"Av. Avellaneda N° 3636 PB Local 11",NA,"4-288471","D1","av avellaneda 3636 pb local 11","^([a-z ]*)([0-9]+)","av avellaneda  pb local 11","3636 pb local 11"
NA,NA,"Neuquén 2610/12 PB y EP",NA,"4-289550","D1","neuquen 2610/12 pb y ep","^([a-z ]*)([0-9]+)","neuquen /12 pb y ep","2610/12 pb y ep"
NA,NA,"Holmberg N° 2621 PB.",NA,"4-302530","D1","holmberg 2621 pb","^([a-z ]*)([0-9]+)","holmberg  pb","2621 pb"
NA,NA,"Av. Rivadavia 3601, PB y Azotea",NA,"4-302490,4-302491,4-302492","D1","av rivadavia 3601 pb y azotea","^([a-z ]*)([0-9]+)","av rivadavia  pb y azotea","3601 pb y azotea"
NA,NA,"Medina N° 1664 PB/EP",NA,"4-313053,4-313054,4-289761,4-289760,4-313055,4-313056","D1","medina 1664 pb/ep","^([a-z ]*)([0-9]+)","medina  pb/ep","1664 pb/ep"
NA,NA,"Av. Corrientes 3201, 2° piso (góndola)",NA,"4-302494","D1","av corrientes 3201 2 piso (gondola)","^([a-z ]*)([0-9]+)","av corrientes  2 piso (gondola)","3201 2 piso (gondola)"
NA,NA,"Francisco Acuña de Figueroa Nº 352/58",NA,"4-302493","D1","francisco acuna de figueroa no 352/58","^([a-z ]*)([0-9]+)","francisco acuna de figueroa no /58","352/58"
NA,NA,"Av. Chiclana 3311/19, PB, EP, 1° a 3° piso y azotea",NA,"4-287138","D1","av chiclana 3311/19 pb ep 1 a 3 piso y azotea","^([a-z ]*)([0-9]+)","av chiclana /19 pb ep 1 a 3 piso y azotea","3311/19 pb ep 1 a 3 piso y azotea"
NA,NA,"Av. Eva Perón 5691 PB (UF5)",NA,"4-303829","D1","av eva peron 5691 pb (uf5)","^([a-z ]*)([0-9]+)","av eva peron  pb (uf5)","5691 pb (uf5)"
NA,NA,"Av. Pueyrredón, Anchorena, Bartolomé Mitre, JD. Perón- PB. Y EP.",NA,"4-288418","D1","av pueyrredon anchorena bartolome mitre jd peron- pb y ep","","av pueyrredon anchorena bartolome mitre jd peron- pb y ep","av pueyrredon anchorena bartolome mitre jd peron- pb y ep"
NA,NA,"Nogoyá Nº 3651 PB. y 1º piso",NA,"4-301685,4-301684,4-301683","D1","nogoya no 3651 pb y 1o piso","^([a-z ]*)([0-9]+)","nogoya no  pb y 1o piso","3651 pb y 1o piso"
NA,NA,"Agustin de Vedia N° 2176 PB/EP",NA,"4-289763,4-289762","D1","agustin de vedia 2176 pb/ep","^([a-z ]*)([0-9]+)","agustin de vedia  pb/ep","2176 pb/ep"
NA,NA,"Av. Juan Bautista Alberdi N° 3056 PB",NA,"4-313526","D1","av juan bautista alberdi 3056 pb","^([a-z ]*)([0-9]+)","av juan bautista alberdi  pb","3056 pb"
NA,NA,"Pola 1920/38/52/60 PB y EP y Remedios 5490",NA,"4-303681,4-303680,4-303679,4-303678","D1","pola 1920/38/52/60 pb y ep y remedios 5490","^([a-z ]*)([0-9]+)","pola /38/52/60 pb y ep y remedios 5490","1920/38/52/60 pb y ep y remedios 5490"
NA,NA,"Enrique Ochoa N° 428 PB/EP",NA,"4-302458","D1","enrique ochoa 428 pb/ep","^([a-z ]*)([0-9]+)","enrique ochoa  pb/ep","428 pb/ep"
NA,NA,"Paraguay 723, PB, 1° y 2° piso",NA,"4-303089,4-303088","D1","paraguay 723 pb 1 y 2 piso","^([a-z ]*)([0-9]+)","paraguay  pb 1 y 2 piso","723 pb 1 y 2 piso"
NA,NA,"Azcuénaga 538 PB/EP/1° piso (UF2)",NA,"4-288560","D1","azcuenaga 538 pb/ep/1 piso (uf2)","^([a-z ]*)([0-9]+)","azcuenaga  pb/ep/1 piso (uf2)","538 pb/ep/1 piso (uf2)"
NA,NA,"Humboldt N° 1656 PB",NA,"4-182460","D1","humboldt 1656 pb","^([a-z ]*)([0-9]+)","humboldt  pb","1656 pb"
NA,NA,"Av. Franklin D Roosevelt 5701/83, PB, EP, 1° a 4 Piso",NA,"4-302433","D1","av franklin d roosevelt 5701/83 pb ep 1 a 4 piso","^([a-z ]*)([0-9]+)","av franklin d roosevelt /83 pb ep 1 a 4 piso","5701/83 pb ep 1 a 4 piso"
NA,NA,"Florida N° 328 PB, SS",NA,"4-301780","D1","florida 328 pb ss","^([a-z ]*)([0-9]+)","florida  pb ss","328 pb ss"
NA,NA,"Jaramillo Nº 3670/72 y Roque Pérez Nº 3650/56 PB., 1º piso y sótano",NA,"4-289764","D1","jaramillo no 3670/72 y roque perez no 3650/56 pb 1o piso y sotano","^([a-z ]*)([0-9]+)","jaramillo no /72 y roque perez no 3650/56 pb 1o piso y sotano","3670/72 y roque perez no 3650/56 pb 1o piso y sotano"
NA,NA,"San Nicolás Nº 321, PB",NA,"4-303930","D1","san nicolas no 321 pb","^([a-z ]*)([0-9]+)","san nicolas no  pb","321 pb"
NA,NA,"Curapaligue 418/20, PB y PA",NA,"4-302679","D1","curapaligue 418/20 pb y pa","^([a-z ]*)([0-9]+)","curapaligue /20 pb y pa","418/20 pb y pa"
NA,NA,"Av. Juan B. Alberdi N° 715 – PB – UF 1",NA,"4-303833","D1","av juan b alberdi 715 - pb - uf 1","^([a-z ]*)([0-9]+)","av juan b alberdi  - pb - uf 1","715 - pb - uf 1"
NA,NA,"Cuenca N° 2414 PB",NA,"4-288482","D1","cuenca 2414 pb","^([a-z ]*)([0-9]+)","cuenca  pb","2414 pb"
NA,NA,"Gorriti N° 5615 PB, EP y PA",NA,"4-302781","D1","gorriti 5615 pb ep y pa","^([a-z ]*)([0-9]+)","gorriti  pb ep y pa","5615 pb ep y pa"
NA,NA,"República Dominicana N° 3400/Bulnes 1797 PB-UF 1",NA,"4-302495","D1","republica dominicana 3400/bulnes 1797 pb-uf 1","^([a-z ]*)([0-9]+)","republica dominicana /bulnes 1797 pb-uf 1","3400/bulnes 1797 pb-uf 1"
NA,NA,"Armenia N° 1744 PB, 1° y 2° piso",NA,"4-302782,4-302783","D1","armenia 1744 pb 1 y 2 piso","^([a-z ]*)([0-9]+)","armenia  pb 1 y 2 piso","1744 pb 1 y 2 piso"
NA,NA,"Av. Avellaneda N° 3722 PB y PA",NA,"4-289944","D1","av avellaneda 3722 pb y pa","^([a-z ]*)([0-9]+)","av avellaneda  pb y pa","3722 pb y pa"
NA,NA,"Boyacá N° 51 PB/SS",NA,"4-301687,4-301688","D1","boyaca 51 pb/ss","^([a-z ]*)([0-9]+)","boyaca  pb/ss","51 pb/ss"
NA,NA,"Av. Nazca N° 225 PB",NA,"4-301394,4-301395","D1","av nazca 225 pb","^([a-z ]*)([0-9]+)","av nazca  pb","225 pb"
NA,NA,"Bogotá N° 3578 PB",NA,"4-303934","D1","bogota 3578 pb","^([a-z ]*)([0-9]+)","bogota  pb","3578 pb"
NA,NA,"San Nicolas 321, PB y PA",NA,"4-303931,4-303932,4-303933","D1","san nicolas 321 pb y pa","^([a-z ]*)([0-9]+)","san nicolas  pb y pa","321 pb y pa"
NA,NA,"Monroe N° 5352 PB/1° A 3° PISO",NA,"4-303092,4-303090,4-303091","D1","monroe 5352 pb/1 a 3 piso","^([a-z ]*)([0-9]+)","monroe  pb/1 a 3 piso","5352 pb/1 a 3 piso"
NA,NA,"José E. Uriburu 1543 Pb y 1° piso",NA,"4-289995","D1","jose e uriburu 1543 pb y 1 piso","^([a-z ]*)([0-9]+)","jose e uriburu  pb y 1 piso","1543 pb y 1 piso"
NA,NA,"Formosa Nº 516 PB. –unidad funcional Nº 2",NA,"4-288561","D1","formosa no 516 pb -unidad funcional no 2","^([a-z ]*)([0-9]+)","formosa no  pb -unidad funcional no 2","516 pb -unidad funcional no 2"
NA,NA,"Av. Rivadavia N° 5264/68 PB UF 11 local 20",NA,"4-303832","D1","av rivadavia 5264/68 pb uf 11 local 20","^([a-z ]*)([0-9]+)","av rivadavia /68 pb uf 11 local 20","5264/68 pb uf 11 local 20"
NA,NA,"Moreno N° 2426 SS/PB/EP/1° Y 2° PISO/TZA",NA,"4-313427,4-313428","D1","moreno 2426 ss/pb/ep/1 y 2 piso/tza","^([a-z ]*)([0-9]+)","moreno  ss/pb/ep/1 y 2 piso/tza","2426 ss/pb/ep/1 y 2 piso/tza"
NA,NA,"Uriburu J. Evaristo 1141 PB. y EP.,",NA,"4 -303834","D1","uriburu j evaristo 1141 pb y ep","^([a-z ]*)([0-9]+)","uriburu j evaristo  pb y ep","1141 pb y ep"
NA,NA,"Pavón 1458 PB",NA,"4-272916","D1","pavon 1458 pb","^([a-z ]*)([0-9]+)","pavon  pb","1458 pb"
NA,NA,"Beruti 2845 PB, UF 1.,",NA,"4-303626","D1","beruti 2845 pb uf 1","^([a-z ]*)([0-9]+)","beruti  pb uf 1","2845 pb uf 1"
NA,NA,"Bacacay N° 2051 PB. y PA",NA,"4-253149","D1","bacacay 2051 pb y pa","^([a-z ]*)([0-9]+)","bacacay  pb y pa","2051 pb y pa"
NA,NA,"Núñez N° 2683/85/91 SS/PB/1° A 4° PISO/SOTANO",NA,"4-302140","D1","nunez 2683/85/91 ss/pb/1 a 4 piso/sotano","^([a-z ]*)([0-9]+)","nunez /85/91 ss/pb/1 a 4 piso/sotano","2683/85/91 ss/pb/1 a 4 piso/sotano"
NA,NA,"Maza 754, PA",NA,"4-302929, 4-0302930","D1","maza 754 pa","^([a-z ]*)([0-9]+)","maza  pa","754 pa"
NA,NA,"Tres Arroyos 2332 PB, 1° y 2° piso.,",NA,"4-313529, 4-0313530;","D1","tres arroyos 2332 pb 1 y 2 piso","^([a-z ]*)([0-9]+)","tres arroyos  pb 1 y 2 piso","2332 pb 1 y 2 piso"
NA,NA,"San José Nº 1496 PB y Pavón Nº 1393",NA,"4-313230","D1","san jose no 1496 pb y pavon no 1393","^([a-z ]*)([0-9]+)","san jose no  pb y pavon no 1393","1496 pb y pavon no 1393"
NA,NA,"Arenales N° 2659 PB, UF 1",NA,"4-288325","D1","arenales 2659 pb uf 1","^([a-z ]*)([0-9]+)","arenales  pb uf 1","2659 pb uf 1"
NA,NA,"Portela 46 PB y EP",NA,"4-301015","D1","portela 46 pb y ep","^([a-z ]*)([0-9]+)","portela  pb y ep","46 pb y ep"
NA,NA,"Díaz Colodrero N° 2819 PB UF 1.,",NA,"4-303835","D1","diaz colodrero 2819 pb uf 1","^([a-z ]*)([0-9]+)","diaz colodrero  pb uf 1","2819 pb uf 1"
NA,NA,"Ciudad de la Paz N° 1126 PB/SOT",NA,"4-302863,4-301593","D1","ciudad de la paz 1126 pb/sot","^([a-z ]*)([0-9]+)","ciudad de la paz  pb/sot","1126 pb/sot"
NA,NA,"Av. Frankin D. Rooselvet 5720/22, PB.,",NA,"4-303836","D1","av frankin d rooselvet 5720/22 pb","^([a-z ]*)([0-9]+)","av frankin d rooselvet /22 pb","5720/22 pb"
NA,NA,"AV. Brasil Nº 1394 PB",NA,"4-287772","D1","av brasil no 1394 pb","^([a-z ]*)([0-9]+)","av brasil no  pb","1394 pb"
NA,NA,"Antezana 47 PB y PA",NA,"4-302424,4-302423","D1","antezana 47 pb y pa","^([a-z ]*)([0-9]+)","antezana  pb y pa","47 pb y pa"
NA,NA,"Carlos Calvo Nº 2217 PB., 1º y 2º piso",NA,"4-303098","D1","carlos calvo no 2217 pb 1o y 2o piso","^([a-z ]*)([0-9]+)","carlos calvo no  pb 1o y 2o piso","2217 pb 1o y 2o piso"
NA,NA,"Alicia Moreau de Justo 1808/16 PB.,",NA,"4-302082","D1","alicia moreau de justo 1808/16 pb","^([a-z ]*)([0-9]+)","alicia moreau de justo /16 pb","1808/16 pb"
NA,NA,"Bacacay 3573/75, PB y PA",NA,"4-313278,4-313279,4-313280","D1","bacacay 3573/75 pb y pa","^([a-z ]*)([0-9]+)","bacacay /75 pb y pa","3573/75 pb y pa"
NA,NA,"Av. Santa Fe N° 4120 PB/SS.,",NA,"4-302275","D1","av santa fe 4120 pb/ss","^([a-z ]*)([0-9]+)","av santa fe  pb/ss","4120 pb/ss"
NA,NA,"Olga Cossettini N° 1553 PB.,",NA,"4-302081","D1","olga cossettini 1553 pb","^([a-z ]*)([0-9]+)","olga cossettini  pb","1553 pb"
NA,NA,"Lima Nº 627, PB, 1º, EP y Azotea",NA,"4-289022","D1","lima no 627 pb 1o ep y azotea","^([a-z ]*)([0-9]+)","lima no  pb 1o ep y azotea","627 pb 1o ep y azotea"
NA,NA,"Carlos Calvo N° 1447/49 PB., EP",NA,"4-289843,4-289842,4-289841,4-289844","D1","carlos calvo 1447/49 pb ep","^([a-z ]*)([0-9]+)","carlos calvo /49 pb ep","1447/49 pb ep"
NA,NA,"Otamendi 443, PB y PA.,",NA,"4-289998","D1","otamendi 443 pb y pa","^([a-z ]*)([0-9]+)","otamendi  pb y pa","443 pb y pa"
NA,NA,"Adolfo Alsina 1465, PB y PA",NA,"4-2397624-302785","D1","adolfo alsina 1465 pb y pa","^([a-z ]*)([0-9]+)","adolfo alsina  pb y pa","1465 pb y pa"
NA,NA,"Tres Arroyos N° 3755 PB., - 2",NA,"4-303196","D1","tres arroyos 3755 pb - 2","^([a-z ]*)([0-9]+)","tres arroyos  pb - 2","3755 pb - 2"
NA,NA,"Av. Belgrano N° 4140/44 PB.,",NA,"4-273640","D1","av belgrano 4140/44 pb","^([a-z ]*)([0-9]+)","av belgrano /44 pb","4140/44 pb"
NA,NA,"Av. Elcano N° 2750, PB (UF2).,",NA,"4-303628,4-303629","D1","av elcano 2750 pb (uf2)","^([a-z ]*)([0-9]+)","av elcano  pb (uf2)","2750 pb (uf2)"
NA,NA,"Concordia N° 418 PB/PA",NA,"4-301693,4-301692","D1","concordia 418 pb/pa","^([a-z ]*)([0-9]+)","concordia  pb/pa","418 pb/pa"
NA,NA,"Manuela Pedraza Nº 2177 PB. y 1º piso",NA,"4-252696","D1","manuela pedraza no 2177 pb y 1o piso","^([a-z ]*)([0-9]+)","manuela pedraza no  pb y 1o piso","2177 pb y 1o piso"
NA,NA,"PTE. Luis Saenz Peña Nº 1839 PB., EP. y sótano",NA,"4-302845","D1","pte luis saenz pena no 1839 pb ep y sotano","^([a-z ]*)([0-9]+)","pte luis saenz pena no  pb ep y sotano","1839 pb ep y sotano"
NA,NA,"Av. Rivadavia 7214 PB",NA,"4-273558","D1","av rivadavia 7214 pb","^([a-z ]*)([0-9]+)","av rivadavia  pb","7214 pb"
NA,NA,"viamonte 172/80/90 pb-ss-1-2",NA,"4-313536,4-313281","D1","viamonte 172/80/90 pb-ss-1-2","^([a-z ]*)([0-9]+)","viamonte /80/90 pb-ss-1-2","172/80/90 pb-ss-1-2"
NA,NA,"DR. Enrique ochoa 922 pb-azot",NA,"4-303505","D1","dr enrique ochoa 922 pb-azot","^([a-z ]*)([0-9]+)","dr enrique ochoa  pb-azot","922 pb-azot"
NA,NA,"bahia blanca 203/205 pb-1-2-azot",NA,"4-303176,4-303177,4-303178,4-303179,4-303180","D1","bahia blanca 203/205 pb-1-2-azot","^([a-z ]*)([0-9]+)","bahia blanca /205 pb-1-2-azot","203/205 pb-1-2-azot"
NA,NA,"Fray Justo Santa María de Oro N° 2280 PB",NA,"4-48893","D1","fray justo santa maria de oro 2280 pb","^([a-z ]*)([0-9]+)","fray justo santa maria de oro  pb","2280 pb"
NA,NA,"Av. Córdoba N° 5267 PB/1°/Azotea",NA,"4-302086","D1","av cordoba 5267 pb/1/azotea","^([a-z ]*)([0-9]+)","av cordoba  pb/1/azotea","5267 pb/1/azotea"
NA,NA,"Humboldt N° 1864 PB",NA,"4-287162","D1","humboldt 1864 pb","^([a-z ]*)([0-9]+)","humboldt  pb","1864 pb"
NA,NA,"Av. Álvarez Thomas 1368 PB-EP",NA,"4-287163","D1","av alvarez thomas 1368 pb-ep","^([a-z ]*)([0-9]+)","av alvarez thomas  pb-ep","1368 pb-ep"
NA,NA,"Solís N° 1128 PB y PA",NA,"4-302088","D1","solis 1128 pb y pa","^([a-z ]*)([0-9]+)","solis  pb y pa","1128 pb y pa"
NA,NA,"Marcelo T. de Alvear N° 1540 PB y 1° piso",NA,"4-303152","D1","marcelo t de alvear 1540 pb y 1 piso","^([a-z ]*)([0-9]+)","marcelo t de alvear  pb y 1 piso","1540 pb y 1 piso"
NA,NA,"Av. Warnes 688 Pb y EP.,",NA,"4-302594","D1","av warnes 688 pb y ep","^([a-z ]*)([0-9]+)","av warnes  pb y ep","688 pb y ep"
NA,NA,"Av. Rivadavia N° 3412/16 PB, PA.,",NA,"4-272597","D1","av rivadavia 3412/16 pb pa","^([a-z ]*)([0-9]+)","av rivadavia /16 pb pa","3412/16 pb pa"
NA,NA,"Av. Rivadavia 8071 PB y EP.,",NA,"4-301698,4-301697,4-301699","D1","av rivadavia 8071 pb y ep","^([a-z ]*)([0-9]+)","av rivadavia  pb y ep","8071 pb y ep"
